date,open,high,low,close,volume
2025-03-14,43.0044,44.6572,42.7654,44.3386,7882100
2025-03-17,44.3685,45.2447,44.2291,44.5577,5734100
2025-03-18,44.3486,44.3685,43.4823,44.1494,5205800
2025-03-19,44.1793,45.2347,43.9602,44.707,3603100
2025-03-20,44.0698,45.3343,44.0598,44.3187,4910100
2025-03-21,43.7014,43.9204,42.9944,43.4724,7712800
2025-03-24,44.5079,44.6672,43.2633,44.1196,5619600
2025-03-25,43.9005,44.0897,42.3572,43.2035,8749500
2025-03-26,43.313,43.4425,42.0286,42.4368,7243700
2025-03-27,42.0186,42.7256,41.6801,41.7299,4909700
2025-03-28,41.2221,41.8095,40.316,40.4454,4640100
2025-03-31,39.619,40.3359,38.9319,40.2562,8212200
2025-04-01,39.9276,40.7939,39.6787,40.7143,5292700
2025-04-02,40.1467,42.0485,40.087,41.6004,5017500
2025-04-03,38.5934,38.7328,33.8638,34.0032,21307200
2025-04-04,32.5694,32.9577,29.6321,30.4087,22939100
2025-04-07,29.4927,33.2664,28.7061,31.0261,14472100
2025-04-08,32.5097,34.6305,30.588,31.4144,17547200
2025-04-09,31.2053,37.2094,30.4386,36.144,20134800
2025-04-10,35.6461,35.9648,33.5651,34.7201,15245500
2025-04-11,34.2123,34.9193,33.2764,34.2521,8654100
2025-04-14,36.3033,36.4626,35.1284,35.666,9947400
2025-04-15,35.6561,36.1739,35.3275,35.7756,6199500
2025-04-16,35.6362,36.0942,34.8496,35.4669,7265300
2025-04-17,36.0245,36.5423,35.3574,36.3531,7393300
2025-04-21,35.9349,36.1241,35.3574,35.8054,6676600
2025-04-22,36.2037,36.841,35.8254,36.5224,5086900
2025-04-23,38.1653,38.932,37.309,37.538,5526000
2025-04-24,38.0657,40.1865,38.0259,39.9973,5943900
2025-04-25,40.0272,40.8935,39.7285,40.6047,4158500
2025-04-28,40.4155,40.9532,40.0073,40.7342,5916400
2025-04-29,40.535,41.0727,40.4155,40.4454,6871700
2025-04-30,42.7953,43.8806,41.6502,43.6715,15906000
2025-05-01,44.5079,44.956,43.6715,43.7611,9378300
2025-05-02,44.7966,45.185,44.2888,44.4979,8263300
2025-05-05,43.7611,45.414,43.7611,44.8365,7522000
2025-05-06,44.3884,44.717,43.9204,44.0996,4952400
2025-05-07,44.2191,44.4681,43.4126,44.1096,7564600
2025-05-08,44.7568,44.936,43.9802,44.1096,5320500
2025-05-09,44.4681,45.0356,43.6914,43.9105,4960100
2025-05-12,46.6785,47.2859,46.2006,46.3698,6957400
2025-05-13,46.8478,49.6557,46.4794,48.7994,8113500
2025-05-14,48.6201,49.6258,48.3712,48.9885,8649600
2025-05-15,48.9587,49.5561,48.6002,49.5362,8249400
2025-05-16,49.7851,50.0539,49.3271,49.7752,4955600
2025-05-19,48.8491,50.5817,48.8093,50.502,5283200
2025-05-20,50.502,51.3683,50.1336,50.4124,4930400
2025-05-21,49.9145,51.0397,49.118,49.2773,7278800
2025-05-22,49.347,50.8704,49.0682,49.6258,5802900
2025-05-23,49.0085,50.1734,48.7894,49.9643,5763200
2025-05-27,50.8505,51.7666,50.4024,51.5973,6374500
2025-05-28,51.5475,52.5631,51.4181,52.125,6782100
2025-05-29,52.9913,53.1207,51.7665,52.3241,4570900
2025-05-30,51.8064,52.1847,51.0297,51.3284,7402800
2025-06-02,51.209,52.1847,50.9501,51.9657,4214600
2025-06-03,52.115,53.6883,51.657,53.5389,5635300
2025-06-04,53.8681,54.6262,53.3394,54.297,4739600
2025-06-05,54.7459,55.4742,54.0876,54.9155,10981500
2025-06-06,55.7734,56.6114,55.2846,55.3146,5952100
2025-06-09,56.3919,57.3196,55.943,56.8807,6549900
2025-06-10,57.0603,57.2498,55.4343,55.8133,7168100
2025-06-11,56.2722,56.7012,55.0452,55.534,4411400
2025-06-12,55.145,55.9131,54.9953,55.6437,3608800
2025-06-13,54.716,56.1325,54.4666,55.5639,10554500
2025-06-16,56.352,57.5491,56.1325,57.2698,5552500
2025-06-17,57.9381,60.442,57.7386,58.4269,9616500
2025-06-18,58.5466,59.7836,58.387,59.0454,6647400
2025-06-20,59.7337,59.7936,58.826,59.1452,9426300
2025-06-23,58.8559,60.3622,58.5167,60.2325,4627000
2025-06-24,60.6415,62.1678,60.422,61.9184,6021000
2025-06-25,62.3773,62.7364,61.9782,62.3972,4530300
2025-06-26,62.497,63.6043,62.3773,63.3549,5930300
2025-06-27,63.3549,63.5045,62.497,63.1354,6642300
2025-06-30,63.4446,64.1828,62.9558,63.8337,6074400
2025-07-01,63.5245,64.0532,62.7863,63.6841,5360800
2025-07-02,63.4846,65.769,62.8561,65.6193,7125000
2025-07-03,65.769,66.6668,65.6093,65.9186,5162100
2025-07-07,65.6393,65.9685,64.8013,65.0607,6232200
2025-07-08,65.769,65.8388,63.5145,63.8636,8355200
2025-07-09,64.1828,64.9609,64.0033,64.4821,8534200
2025-07-10,64.8013,65.4497,64.4223,64.9011,3916700
2025-07-11,64.5918,66.4672,64.0731,65.9784,5339200
2025-07-14,65.8787,67.1855,65.0806,66.7665,5100300
2025-07-15,67.784,67.8937,67.0059,67.365,6334700
2025-07-16,67.365,67.4349,65.6393,66.3675,4780100
2025-07-17,66.3475,67.5147,66.1879,66.8563,6211300
2025-07-18,67.6942,68.3526,67.1057,67.8339,4275300
2025-07-21,68.0234,68.602,67.5346,68.5721,4128000
2025-07-22,68.3626,68.602,65.8787,66.8962,5096700
2025-07-23,67.4449,69.43,67.4149,69.1507,7210600
2025-07-24,69.031,69.4499,68.1731,68.8514,8054300
2025-07-25,69.0808,69.5497,66.3475,68.6519,7880400
2025-07-28,69.2305,69.4499,68.5023,68.8215,4508800
2025-07-29,69.2803,71.1358,69.2404,70.4375,8861400
2025-07-30,69.2804,71.6346,69.1307,71.2555,13984000
2025-07-31,74.0686,78.6075,73.0711,78.4978,24012700
2025-08-01,75.5251,76.8319,74.308,76.363,8789800
2025-08-04,77.58,77.8294,75.8642,77.1012,5097400
2025-08-05,77.7496,78.019,74.0287,75.6547,5898200
2025-08-06,75.7445,76.2732,73.3304,73.5998,7647000
2025-08-07,73.5299,74.4277,73.2606,74.2582,6938300
2025-08-08,74.747,75.6148,74.308,74.7869,4983600
2025-08-11,75.136,76.4827,74.1883,74.4577,7304300
2025-08-12,74.717,75.7445,74.4377,75.7246,7694700
2025-08-13,76.0937,76.9915,75.4852,75.8842,5298600
2025-08-14,75.0961,76.4229,74.5375,76.0538,6621400
2025-08-15,76.3131,76.3929,74.3579,74.8766,4258400
2025-08-18,74.6073,76.2333,74.4477,76.1036,5191900
2025-08-19,75.7146,76.2732,74.9265,75.6747,3770800
2025-08-20,75.4951,75.4951,72.9613,75.4552,5478100
2025-08-21,75.565,75.8144,74.2382,74.4776,5490400
2025-08-22,74.5973,77.1611,74.3879,76.782,6521300
2025-08-25,76.782,79.645,76.5126,79.0265,5401400
2025-08-26,78.9068,80.1039,78.9068,79.5153,8724600
2025-08-27,80.054,80.6026,79.3557,80.4729,5536600
2025-08-28,80.7024,81.9593,80.5029,81.8396,4557500
2025-08-29,81.3707,82.1189,79.6051,80.1437,5004400
2025-09-02,78.3282,81.7398,77.7097,81.7099,5777800
2025-09-03,83.8946,86.0692,83.1364,85.7899,12194800
2025-09-04,86.2793,90.7835,85.8099,90.374,13542500
2025-09-05,92.3715,92.9807,91.3128,91.9221,20310400
2025-09-08,92.4214,93.3802,91.5326,93.1705,8499400
2025-09-09,92.8808,95.2478,92.5812,94.4189,7195000
2025-09-10,95.7671,96.0568,93.7997,94.8982,8398400
2025-09-11,96.7459,97.6547,94.289,96.0268,6985100
2025-09-12,96.0867,98.7333,95.857,97.5349,6753100
2025-09-15,100.3213,103.647,99.8719,102.2588,12523300
2025-09-16,102.3986,103.8468,101.31,102.9579,8734900
2025-09-17,102.099,102.2688,99.5922,100.8107,8787600
2025-09-18,102.3287,105.974,101.8693,105.0153,10389100
2025-09-19,105.7443,107.0427,105.185,106.4934,11030700
2025-09-22,107.0726,112.6854,107.0726,112.266,9686300
2025-09-23,112.3359,113.6142,109.2598,110.1087,7375500
2025-09-24,110.698,112.6654,108.7704,109.5494,8412700
2025-09-25,106.4834,108.5607,106.1538,107.0726,8499400
2025-09-26,107.3323,107.9215,105.2849,106.743,5520000
2025-09-29,111.8765,117.9886,111.6867,116.5904,14023900
