date,open,high,low,close,volume
2025-03-14,210.3333,213.0215,208.6705,212.5636,60107600
2025-03-17,212.3843,214.286,209.0588,213.0713,48073400
2025-03-18,213.2307,214.2164,210.5723,211.767,42432400
2025-03-19,213.2904,217.8107,212.8224,214.306,54385400
2025-03-20,213.0614,216.5462,211.2991,213.1709,48862900
2025-03-21,210.6419,217.8903,210.3631,217.3228,94127800
2025-03-24,220.041,220.5189,217.6315,219.7721,44299500
2025-03-25,219.812,223.1275,219.125,222.779,34493600
2025-03-26,222.5401,224.0435,219.5133,220.5687,34466100
2025-03-27,220.4293,224.0137,219.6029,222.8786,37094800
2025-03-28,220.7081,222.8388,216.7354,216.9544,39818600
2025-03-31,216.0683,224.6409,215.2917,221.1661,65299300
2025-04-01,218.8561,222.7093,217.9501,222.2215,36412700
2025-04-02,220.3596,224.2128,220.0609,222.9184,35905900
2025-04-03,204.6481,206.5896,200.3767,202.3083,103419000
2025-04-04,193.0486,199.0126,186.527,187.5625,125910900
2025-04-07,176.431,193.3075,173.8622,180.6726,160466300
2025-04-08,185.8898,189.514,168.4757,171.6718,120859500
2025-04-09,171.2038,199.7394,171.1441,197.9871,184395900
2025-04-10,188.2495,193.9347,182.2059,189.5937,121880000
2025-04-11,185.2924,198.6741,185.2526,197.2901,87435900
2025-04-14,210.5224,212.0159,200.2871,201.6412,101352900
2025-04-15,200.984,202.6269,198.933,201.2628,51343900
2025-04-16,197.4992,199.8291,191.5352,193.427,59732400
2025-04-17,196.3442,197.9672,193.5763,196.1252,52164700
2025-04-21,192.4313,192.959,188.9863,192.3218,46742500
2025-04-22,195.2689,200.7152,195.1196,198.8732,52976400
2025-04-23,205.1061,207.0974,201.92,203.7121,52929200
2025-04-24,204.0009,207.9238,202.0593,207.4658,47311000
2025-04-25,205.4745,208.8398,205.3052,208.3718,38222300
2025-04-28,209.0887,210.5822,206.5597,209.2281,38743100
2025-04-29,207.7844,211.319,207.4658,210.2935,36827600
2025-04-30,208.3917,212.6532,205.7731,211.5779,52286500
2025-05-01,208.1727,213.6289,207.9935,212.3943,57365700
2025-05-02,205.1957,206.0918,201.2827,204.4589,101010600
2025-05-05,202.2187,203.2143,197.3499,198.0269,69018500
2025-05-06,197.3499,199.7793,196.165,197.6485,51216500
2025-05-07,198.3057,198.5745,192.4114,195.3984,68536700
2025-05-08,196.862,199.1819,193.8352,196.633,50478900
2025-05-09,198.1364,199.6697,196.6828,197.6685,36453900
2025-05-12,210.3299,210.629,206.1227,210.1505,63775800
2025-05-13,209.7916,212.7526,208.3659,212.284,51909300
2025-05-14,211.7855,213.2909,209.9411,211.6858,49325800
2025-05-15,210.31,212.3139,208.9043,210.8085,45029500
2025-05-16,211.7157,211.9251,209.1336,210.6191,54737900
2025-05-19,207.2792,208.8445,203.6403,208.1466,46140500
2025-05-20,207.04,207.8375,204.408,206.2324,42496600
2025-05-21,204.5475,206.4119,200.1011,201.4769,59211800
2025-05-22,200.1011,202.1349,199.0941,200.7491,46742400
2025-05-23,193.0824,197.1002,192.8731,194.6776,78432900
2025-05-27,197.6984,200.131,196.831,199.6026,56288500
2025-05-28,199.9814,202.1149,199.2935,199.812,45339700
2025-05-29,202.9624,203.1917,197.9078,199.3434,51396800
2025-05-30,198.7651,201.3473,196.183,200.2407,70819900
2025-06-02,199.6724,201.5168,199.5129,201.0881,35423300
2025-06-03,200.7391,203.1518,200.3503,202.6533,46381600
2025-06-04,202.2944,205.6143,201.4869,202.2047,43604000
