date,open,high,low,close,volume
2025-03-14,128.1735,131.0949,127.9994,130.8434,1086300
2025-03-18,130.0371,131.5272,130.0371,130.9757,1541600
2025-03-19,130.637,132.3303,130.5015,131.7594,1809500
2025-03-20,132.0207,132.5916,131.3434,132.5045,1954900
2025-03-21,132.2336,133.743,131.1498,132.669,3749100
2025-03-24,132.8431,133.6172,131.5659,131.7401,1125000
2025-03-25,131.353,132.0594,128.6921,130.1435,1585900
2025-03-26,130.2596,131.7401,130.2403,131.324,1773800
2025-03-27,131.6143,131.9723,130.5789,130.8208,1204800
2025-03-28,131.7691,132.7464,131.1015,132.1465,1597800
2025-03-31,132.7464,134.5461,132.2045,133.7914,1190300
2025-04-01,133.0077,133.8882,132.3787,133.4527,893300
2025-04-02,133.2012,134.4397,132.1271,133.5302,1055900
2025-04-03,134.788,135.8427,133.2205,134.9719,1946800
2025-04-04,135.1751,135.775,126.4086,127.531,1732000
2025-04-07,125.3055,127.0181,122.0059,123.8057,2373000
2025-04-08,126.1376,126.9601,121.6479,123.2638,1528100
2025-04-09,122.0833,127.1052,119.6837,126.2827,1870200
2025-04-10,125.6248,126.6601,122.6058,124.5798,1848800
2025-04-11,124.1347,125.6828,122.6445,125.6151,2031600
2025-04-14,126.1279,129.621,125.7312,128.8759,1398600
2025-04-15,128.876,129.921,128.2664,128.6147,1459900
2025-04-16,129.7662,129.9016,127.2213,127.7439,781200
2025-04-17,128.4115,130.9079,128.3921,129.2243,1389400
2025-04-21,128.5276,128.963,125.9731,127.5116,2357600
2025-04-22,128.7792,132.0013,128.4889,131.4014,2345100
2025-04-23,131.1208,132.3303,129.6984,131.7498,2383800
2025-04-24,131.295,133.2883,130.5403,132.5432,1833000
2025-04-25,132.2336,132.3593,129.9694,130.3951,1294700
2025-04-28,130.4725,131.711,128.7502,131.295,1118300
2025-04-29,130.7241,133.2883,130.3854,132.3303,1781000
2025-04-30,132.7658,133.027,129.6404,132.5625,2719100
2025-05-01,133.5301,133.9172,130.8208,131.4401,1626600
2025-05-02,131.6917,132.2529,130.6854,131.9433,709900
2025-05-05,132.0981,132.5335,130.6854,132.2626,1407400
2025-05-06,132.311,133.8979,131.624,133.2012,1206100
2025-05-07,132.9786,135.0106,132.9786,134.1204,1197600
2025-05-08,133.5108,133.8688,131.0531,131.3143,1404400
2025-05-09,131.6433,132.0787,130.5693,131.711,913000
2025-05-12,130.6273,130.7434,127.5213,128.7889,1376600
2025-05-13,128.6824,129.592,127.6084,128.5373,1837800
2025-05-14,128.4792,128.7985,125.4409,128.3922,2181300
2025-05-15,129.3985,132.1755,128.8372,131.8852,2464400
2025-05-16,131.5756,133.7334,131.4885,133.5979,1722400
2025-05-19,133.1625,134.2268,132.0787,134.0817,1101900
2025-05-20,133.8205,134.7397,133.4624,133.9075,762900
2025-05-21,133.5785,133.7721,130.8596,131.7014,1459500
2025-05-22,130.8596,131.0531,129.0695,130.2596,2046300
2025-05-23,131.4014,132.2626,129.6887,131.9046,1069000
2025-05-27,133.0367,133.1625,131.7885,132.6786,746400
2025-05-28,132.3013,132.3013,129.9887,130.608,1055000
2025-05-29,130.3564,131.8562,130.2209,131.8465,1022900
2025-05-30,131.5466,132.5819,131.353,132.2239,1520100
2025-06-02,131.4982,132.2723,130.8305,131.5756,1073300
2025-06-03,132.04,132.1852,129.7371,131.1692,1097500
2025-06-04,131.1305,131.1305,128.9631,128.9921,1159000
2025-06-05,128.9437,128.9437,127.8213,128.4018,1479900
2025-06-06,128.9437,129.95,128.1212,129.5146,1419900
2025-06-09,129.1759,130.3177,128.6824,129.563,1077400
2025-06-10,129.8242,130.8015,128.9243,130.5112,1250700
2025-06-11,130.7434,130.8692,130.0468,130.5983,1290400
2025-06-12,130.7241,131.624,130.5112,131.624,1038000
2025-06-13,131.624,131.8465,130.5015,130.8402,1182800
2025-06-16,131.2304,131.8059,128.9966,129.894,1532600
2025-06-17,129.6696,130.0111,127.9821,128.7332,2067100
2025-06-18,129.0453,129.455,127.8748,128.5674,1566000
2025-06-20,128.7624,130.0305,128.6063,129.0746,1615400
2025-06-23,130.0208,131.1231,129.9915,130.7524,835000
2025-06-24,129.894,130.8792,129.5233,129.9525,1346300
2025-06-25,129.1136,129.4648,127.1432,127.6602,1156300
2025-06-26,127.865,128.6551,127.3968,128.3332,1196300
2025-06-27,128.3723,129.4843,128.0113,128.3918,1870400
2025-06-30,127.9821,129.3282,127.7284,129.2112,2277800
2025-07-01,129.6306,130.5671,128.4015,129.1819,2222700
2025-07-02,128.7624,129.0648,126.6652,127.4748,2022600
2025-07-03,127.5431,129.338,126.9286,128.7039,1384000
2025-07-07,128.6356,129.0356,127.1822,127.9138,1292700
2025-07-08,127.1041,127.4748,125.9336,127.0651,1548700
2025-07-09,127.2992,128.2942,126.2165,128.1967,2170100
2025-07-10,127.4358,130.6451,127.4358,130.3817,1487000
2025-07-11,129.2502,131.2694,129.1429,130.5963,1156400
2025-07-14,130.7231,132.518,130.1866,130.8597,1073200
2025-07-15,130.1183,130.7134,129.4648,130.0793,1419800
2025-07-16,129.6891,131.1621,129.299,130.9377,1267800
